Year,State,County,Total Population,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2016,Georgia,Appling CountyAtkinson CountyBacon CountyBaker CountyBaldwin CountyBanks CountyBarrow CountyBartow CountyBen Hill CountyBerrien CountyBibb CountyBleckley CountyBrantley CountyBrooks CountyBryan CountyBulloch CountyBurke CountyButts CountyCalhoun CountyCamden CountyCandler CountyCarroll CountyCatoosa CountyCharlton CountyChatham CountyChattahoochee CountyChattooga CountyCherokee CountyClarke CountyClay CountyClayton CountyClinch CountyCobb CountyCoffee CountyColquitt CountyColumbia CountyCook CountyCoweta CountyCrawford CountyCrisp CountyDade CountyDawson CountyDecatur CountyDeKalb CountyDodge CountyDooly CountyDougherty CountyDouglas CountyEarly CountyEchols CountyEffingham CountyElbert CountyEmanuel CountyEvans CountyFannin CountyFayette CountyFloyd CountyForsyth CountyFranklin CountyFulton CountyGilmer CountyGlascock CountyGlynn CountyGordon CountyGrady CountyGreene CountyGwinnett CountyHabersham CountyHall CountyHancock CountyHaralson CountyHarris CountyHart CountyHeard CountyHenry CountyHouston CountyIrwin CountyJackson CountyJasper CountyJeff Davis CountyJefferson CountyJenkins CountyJohnson CountyJones CountyLamar CountyLanier CountyLaurens CountyLee CountyLiberty CountyLincoln CountyLong CountyLowndes CountyLumpkin CountyMcDuffie CountyMcIntosh CountyMacon CountyMadison CountyMarion CountyMeriwether CountyMiller CountyMitchell CountyMonroe CountyMontgomery CountyMorgan CountyMurray CountyMuscogee CountyNewton CountyOconee CountyOglethorpe CountyPaulding CountyPeach CountyPickens CountyPierce CountyPike CountyPolk CountyPulaski CountyPutnam CountyQuitman CountyRabun CountyRandolph CountyRichmond CountyRockdale CountySchley CountyScreven CountySeminole CountySpalding CountyStephens CountyStewart CountySumter CountyTalbot CountyTaliaferro CountyTattnall CountyTaylor CountyTelfair CountyTerrell CountyThomas CountyTift CountyToombs CountyTowns CountyTreutlen CountyTroup CountyTurner CountyTwiggs CountyUnion CountyUpson CountyWalker CountyWalton CountyWare CountyWarren CountyWashington CountyWayne CountyWebster CountyWheeler CountyWhite CountyWhitfield CountyWilcox CountyWilkes CountyWilkinson CountyWorth County,10099320,4489112.0,419113.0,48862.0,1746894.0
2016,Hawaii,Hawaii CountyHonolulu CountyKalawao CountyKauai CountyMaui County,1413673,664616.0,38768.0,38777.0,148577.0
2016,Idaho,Ada CountyAdams CountyBannock CountyBear Lake CountyBenewah CountyBingham CountyBlaine CountyBoise CountyBonner CountyBonneville CountyBoundary CountyButte CountyCamas CountyCanyon CountyCaribou CountyCassia CountyClark CountyClearwater CountyCuster CountyElmore CountyFranklin CountyFremont CountyGem CountyGooding CountyIdaho CountyJefferson CountyJerome CountyKootenai CountyLatah CountyLemhi CountyLewis CountyLincoln CountyMadison CountyMinidoka CountyNez Perce CountyOneida CountyOwyhee CountyPayette CountyPower CountyShoshone CountyTeton CountyTwin Falls CountyValley CountyWashington County,1635483,731170.0,48385.0,3459.0,244585.0
2016,Illinois,Adams CountyAlexander CountyBond CountyBoone CountyBrown CountyBureau CountyCalhoun CountyCarroll CountyCass CountyChampaign CountyChristian CountyClark CountyClay CountyClinton CountyColes CountyCook CountyCrawford CountyCumberland CountyDeKalb CountyDe Witt CountyDouglas CountyDuPage CountyEdgar CountyEdwards CountyEffingham CountyFayette CountyFord CountyFranklin CountyFulton CountyGallatin CountyGreene CountyGrundy CountyHamilton CountyHancock CountyHardin CountyHenderson CountyHenry CountyIroquois CountyJackson CountyJasper CountyJefferson CountyJersey CountyJo Daviess CountyJohnson CountyKane CountyKankakee CountyKendall CountyKnox CountyLake CountyLaSalle CountyLawrence CountyLee CountyLivingston CountyLogan CountyMcDonough CountyMcHenry CountyMcLean CountyMacon CountyMacoupin CountyMadison CountyMarion CountyMarshall CountyMason CountyMassac CountyMenard CountyMercer CountyMonroe CountyMontgomery CountyMorgan CountyMoultrie CountyOgle CountyPeoria CountyPerry CountyPiatt CountyPike CountyPope CountyPulaski CountyPutnam CountyRandolph CountyRichland CountyRock Island CountySt. Clair CountySaline CountySangamon CountySchuyler CountyScott CountyShelby CountyStark CountyStephenson CountyTazewell CountyUnion CountyVermilion CountyWabash CountyWarren CountyWashington CountyWayne CountyWhite CountyWhiteside CountyWill CountyWilliamson CountyWinnebago CountyWoodford County,12851684,6134121.0,545635.0,17244.0,1753731.0
2016,Indiana,Adams CountyAllen CountyBartholomew CountyBenton CountyBlackford CountyBoone CountyBrown CountyCarroll CountyCass CountyClark CountyClay CountyClinton CountyCrawford CountyDaviess CountyDearborn CountyDecatur CountyDeKalb CountyDelaware CountyDubois CountyElkhart CountyFayette CountyFloyd CountyFountain CountyFranklin CountyFulton CountyGibson CountyGrant CountyGreene CountyHamilton CountyHancock CountyHarrison CountyHendricks CountyHenry CountyHoward CountyHuntington CountyJackson CountyJasper CountyJay CountyJefferson CountyJennings CountyJohnson CountyKnox CountyKosciusko CountyLaGrange CountyLake CountyLaPorte CountyLawrence CountyMadison CountyMarion CountyMarshall CountyMartin CountyMiami CountyMonroe CountyMontgomery CountyMorgan CountyNewton CountyNoble CountyOhio CountyOrange CountyOwen CountyParke CountyPerry CountyPike CountyPorter CountyPosey CountyPulaski CountyPutnam CountyRandolph CountyRipley CountyRush CountySt. Joseph CountyScott CountyShelby CountySpencer CountyStarke CountySteuben CountySullivan CountySwitzerland CountyTippecanoe CountyTipton CountyUnion CountyVanderburgh CountyVermillion CountyVigo CountyWabash CountyWarren CountyWarrick CountyWashington CountyWayne CountyWells CountyWhite CountyWhitley County,6589578,3085179.0,228929.0,2844.0,957694.0
2016,Iowa,Adair CountyAdams CountyAllamakee CountyAppanoose CountyAudubon CountyBenton CountyBlack Hawk CountyBoone CountyBremer CountyBuchanan CountyBuena Vista CountyButler CountyCalhoun CountyCarroll CountyCass CountyCedar CountyCerro Gordo CountyCherokee CountyChickasaw CountyClarke CountyClay CountyClayton CountyClinton CountyCrawford CountyDallas CountyDavis CountyDecatur CountyDelaware CountyDes Moines CountyDickinson CountyDubuque CountyEmmet CountyFayette CountyFloyd CountyFranklin CountyFremont CountyGreene CountyGrundy CountyGuthrie CountyHamilton CountyHancock CountyHardin CountyHarrison CountyHenry CountyHoward CountyHumboldt CountyIda CountyIowa CountyJackson CountyJasper CountyJefferson CountyJohnson CountyJones CountyKeokuk CountyKossuth CountyLee CountyLinn CountyLouisa CountyLucas CountyLyon CountyMadison CountyMahaska CountyMarion CountyMarshall CountyMills CountyMitchell CountyMonona CountyMonroe CountyMontgomery CountyMuscatine CountyO'Brien CountyOsceola CountyPage CountyPalo Alto CountyPlymouth CountyPocahontas CountyPolk CountyPottawattamie CountyPoweshiek CountyRinggold CountySac CountyScott CountyShelby CountySioux CountyStory CountyTama CountyTaylor CountyUnion CountyVan Buren CountyWapello CountyWarren CountyWashington CountyWayne CountyWebster CountyWinnebago CountyWinneshiek CountyWoodbury CountyWorth CountyWright County,3106589,1587178.0,75289.0,1703.0,369828.0
2016,Kansas,Allen CountyAnderson CountyAtchison CountyBarber CountyBarton CountyBourbon CountyBrown CountyButler CountyChase CountyChautauqua CountyCherokee CountyCheyenne CountyClark CountyClay CountyCloud CountyCoffey CountyComanche CountyCowley CountyCrawford CountyDecatur CountyDickinson CountyDoniphan CountyDouglas CountyEdwards CountyElk CountyEllis CountyEllsworth CountyFinney CountyFord CountyFranklin CountyGeary CountyGove CountyGraham CountyGrant CountyGray CountyGreeley CountyGreenwood CountyHamilton CountyHarper CountyHarvey CountyHaskell CountyHodgeman CountyJackson CountyJefferson CountyJewell CountyJohnson CountyKearny CountyKingman CountyKiowa CountyLabette CountyLane CountyLeavenworth CountyLincoln CountyLinn CountyLogan CountyLyon CountyMcPherson CountyMarion CountyMarshall CountyMeade CountyMiami CountyMitchell CountyMontgomery CountyMorris CountyMorton CountyNemaha CountyNeosho CountyNess CountyNorton CountyOsage CountyOsborne CountyOttawa CountyPawnee CountyPhillips CountyPottawatomie CountyPratt CountyRawlins CountyReno CountyRepublic CountyRice CountyRiley CountyRooks CountyRush CountyRussell CountySaline CountyScott CountySedgwick CountySeward CountyShawnee CountySheridan CountySherman CountySmith CountyStafford CountyStanton CountyStevens CountySumner CountyThomas CountyTrego CountyWabaunsee CountyWallace CountyWashington CountyWichita CountyWilson CountyWoodson CountyWyandotte County,2898292,1408918.0,79000.0,17329.0,373162.0
2016,Kentucky,Adair CountyAllen CountyAnderson CountyBallard CountyBarren CountyBath CountyBell CountyBoone CountyBourbon CountyBoyd CountyBoyle CountyBracken CountyBreathitt CountyBreckinridge CountyBullitt CountyButler CountyCaldwell CountyCalloway CountyCampbell CountyCarlisle CountyCarroll CountyCarter CountyCasey CountyChristian CountyClark CountyClay CountyClinton CountyCrittenden CountyCumberland CountyDaviess CountyEdmonson CountyElliott CountyEstill CountyFayette CountyFleming CountyFloyd CountyFranklin CountyFulton CountyGallatin CountyGarrard CountyGrant CountyGraves CountyGrayson CountyGreen CountyGreenup CountyHancock CountyHardin CountyHarlan CountyHarrison CountyHart CountyHenderson CountyHenry CountyHickman CountyHopkins CountyJackson CountyJefferson CountyJessamine CountyJohnson CountyKenton CountyKnott CountyKnox CountyLarue CountyLaurel CountyLawrence CountyLee CountyLeslie CountyLetcher CountyLewis CountyLincoln CountyLivingston CountyLogan CountyLyon CountyMcCracken CountyMcCreary CountyMcLean CountyMadison CountyMagoffin CountyMarion CountyMarshall CountyMartin CountyMason CountyMeade CountyMenifee CountyMercer CountyMetcalfe CountyMonroe CountyMontgomery CountyMorgan CountyMuhlenberg CountyNelson CountyNicholas CountyOhio CountyOldham CountyOwen CountyOwsley CountyPendleton CountyPerry CountyPike CountyPowell CountyPulaski CountyRobertson CountyRockcastle CountyRowan CountyRussell CountyScott CountyShelby CountySimpson CountySpencer CountyTaylor CountyTodd CountyTrigg CountyTrimble CountyUnion CountyWarren CountyWashington CountyWayne CountyWebster CountyWhitley CountyWolfe CountyWoodford County,4411989,1914189.0,156509.0,14735.0,804139.0
2016,Louisiana,Acadia ParishAllen ParishAscension ParishAssumption ParishAvoyelles ParishBeauregard ParishBienville ParishBossier ParishCaddo ParishCalcasieu ParishCaldwell ParishCameron ParishCatahoula ParishClaiborne ParishConcordia ParishDe Soto ParishEast Baton Rouge ParishEast Carroll ParishEast Feliciana ParishEvangeline ParishFranklin ParishGrant ParishIberia ParishIberville ParishJackson ParishJefferson ParishJefferson Davis ParishLafayette ParishLafourche ParishLaSalle ParishLincoln ParishLivingston ParishMadison ParishMorehouse ParishNatchitoches ParishOrleans ParishOuachita ParishPlaquemines ParishPointe Coupee ParishRapides ParishRed River ParishRichland ParishSabine ParishSt. Bernard ParishSt. Charles ParishSt. Helena ParishSt. James ParishSt. John the Baptist ParishSt. Landry ParishSt. Martin ParishSt. Mary ParishSt. Tammany ParishTangipahoa ParishTensas ParishTerrebonne ParishUnion ParishVermilion ParishVernon ParishWashington ParishWebster ParishWest Baton Rouge ParishWest Carroll ParishWest Feliciana ParishWinn Parish,4645670,2025728.0,168326.0,15085.0,889570.0
2016,Maine,Androscoggin CountyAroostook CountyCumberland CountyFranklin CountyHancock CountyKennebec CountyKnox CountyLincoln CountyOxford CountyPenobscot CountyPiscataquis CountySagadahoc CountySomerset CountyWaldo CountyWashington CountyYork County,1329923,652638.0,41620.0,1770.0,174405.0
2016,Maryland,Allegany CountyAnne Arundel CountyBaltimore CountyCalvert CountyCaroline CountyCarroll CountyCecil CountyCharles CountyDorchester CountyFrederick CountyGarrett CountyHarford CountyHoward CountyKent CountyMontgomery CountyPrince George's CountyQueen Anne's CountySt. Mary's CountySomerset CountyTalbot CountyWashington CountyWicomico CountyWorcester CountyBaltimore city,5959902,3005753.0,216086.0,28072.0,576835.0
2016,Massachusetts,Barnstable CountyBerkshire CountyBristol CountyDukes CountyEssex CountyFranklin CountyHampden CountyHampshire CountyMiddlesex CountyNantucket CountyNorfolk CountyPlymouth CountySuffolk CountyWorcester County,6742143,3468864.0,252347.0,4627.0,740836.0
2016,Michigan,Alcona CountyAlger CountyAllegan CountyAlpena CountyAntrim CountyArenac CountyBaraga CountyBarry CountyBay CountyBenzie CountyBerrien CountyBranch CountyCalhoun CountyCass CountyCharlevoix CountyCheboygan CountyChippewa CountyClare CountyClinton CountyCrawford CountyDelta CountyDickinson CountyEaton CountyEmmet CountyGenesee CountyGladwin CountyGogebic CountyGrand Traverse CountyGratiot CountyHillsdale CountyHoughton CountyHuron CountyIngham CountyIonia CountyIosco CountyIron CountyIsabella CountyJackson CountyKalamazoo CountyKalkaska CountyKent CountyKeweenaw CountyLake CountyLapeer CountyLeelanau CountyLenawee CountyLivingston CountyLuce CountyMackinac CountyMacomb CountyManistee CountyMarquette CountyMason CountyMecosta CountyMenominee CountyMidland CountyMissaukee CountyMonroe CountyMontcalm CountyMontmorency CountyMuskegon CountyNewaygo CountyOakland CountyOceana CountyOgemaw CountyOntonagon CountyOsceola CountyOscoda CountyOtsego CountyOttawa CountyPresque Isle CountyRoscommon CountySaginaw CountySt. Clair CountySt. Joseph CountySanilac CountySchoolcraft CountyShiawassee CountyTuscola CountyVan Buren CountyWashtenaw CountyWayne CountyWexford County,9909600,4449717.0,412934.0,3718.0,1575066.0
2016,Minnesota,Aitkin CountyAnoka CountyBecker CountyBeltrami CountyBenton CountyBig Stone CountyBlue Earth CountyBrown CountyCarlton CountyCarver CountyCass CountyChippewa CountyChisago CountyClay CountyClearwater CountyCook CountyCottonwood CountyCrow Wing CountyDakota CountyDodge CountyDouglas CountyFaribault CountyFillmore CountyFreeborn CountyGoodhue CountyGrant CountyHennepin CountyHouston CountyHubbard CountyIsanti CountyItasca CountyJackson CountyKanabec CountyKandiyohi CountyKittson CountyKoochiching CountyLac qui Parle CountyLake CountyLake of the Woods CountyLe Sueur CountyLincoln CountyLyon CountyMcLeod CountyMahnomen CountyMarshall CountyMartin CountyMeeker CountyMille Lacs CountyMorrison CountyMower CountyMurray CountyNicollet CountyNobles CountyNorman CountyOlmsted CountyOtter Tail CountyPennington CountyPine CountyPipestone CountyPolk CountyPope CountyRamsey CountyRed Lake CountyRedwood CountyRenville CountyRice CountyRock CountyRoseau CountySt. Louis CountyScott CountySherburne CountySibley CountyStearns CountySteele CountyStevens CountySwift CountyTodd CountyTraverse CountyWabasha CountyWadena CountyWaseca CountyWashington CountyWatonwan CountyWilkin CountyWinona CountyWright CountyYellow Medicine County,5450868,2864441.0,145853.0,2228.0,577196.0
2016,Mississippi,Adams CountyAlcorn CountyAmite CountyAttala CountyBenton CountyBolivar CountyCalhoun CountyCarroll CountyChickasaw CountyChoctaw CountyClaiborne CountyClarke CountyClay CountyCoahoma CountyCopiah CountyCovington CountyDeSoto CountyForrest CountyFranklin CountyGeorge CountyGreene CountyGrenada CountyHancock CountyHarrison CountyHinds CountyHolmes CountyHumphreys CountyIssaquena CountyItawamba CountyJackson CountyJasper CountyJefferson CountyJefferson Davis CountyJones CountyKemper CountyLafayette CountyLamar CountyLauderdale CountyLawrence CountyLeake CountyLee CountyLeflore CountyLincoln CountyLowndes CountyMadison CountyMarion CountyMarshall CountyMonroe CountyMontgomery CountyNeshoba CountyNewton CountyNoxubee CountyOktibbeha CountyPanola CountyPearl River CountyPerry CountyPike CountyPontotoc CountyPrentiss CountyQuitman CountyRankin CountyScott CountySharkey CountySimpson CountySmith CountyStone CountySunflower CountyTallahatchie CountyTate CountyTippah CountyTishomingo CountyTunica CountyUnion CountyWalthall CountyWarren CountyWashington CountyWayne CountyWebster CountyWilkinson CountyWinston CountyYalobusha CountyYazoo County,2989192,1212650.0,128840.0,10307.0,645553.0
2016,Missouri,Adair CountyAndrew CountyAtchison CountyAudrain CountyBarry CountyBarton CountyBates CountyBenton CountyBollinger CountyBoone CountyBuchanan CountyButler CountyCaldwell CountyCallaway CountyCamden CountyCape Girardeau CountyCarroll CountyCarter CountyCass CountyCedar CountyChariton CountyChristian CountyClark CountyClay CountyClinton CountyCole CountyCooper CountyCrawford CountyDade CountyDallas CountyDaviess CountyDeKalb CountyDent CountyDouglas CountyDunklin CountyFranklin CountyGasconade CountyGentry CountyGreene CountyGrundy CountyHarrison CountyHenry CountyHickory CountyHolt CountyHoward CountyHowell CountyIron CountyJackson CountyJasper CountyJefferson CountyJohnson CountyKnox CountyLaclede CountyLafayette CountyLawrence CountyLewis CountyLincoln CountyLinn CountyLivingston CountyMcDonald CountyMacon CountyMadison CountyMaries CountyMarion CountyMercer CountyMiller CountyMississippi CountyMoniteau CountyMonroe CountyMontgomery CountyMorgan CountyNew Madrid CountyNewton CountyNodaway CountyOregon CountyOsage CountyOzark CountyPemiscot CountyPerry CountyPettis CountyPhelps CountyPike CountyPlatte CountyPolk CountyPulaski CountyPutnam CountyRalls CountyRandolph CountyRay CountyReynolds CountyRipley CountySt. Charles CountySt. Clair CountySte. Genevieve CountySt. Francois CountySt. Louis CountySaline CountySchuyler CountyScotland CountyScott CountyShannon CountyShelby CountyStoddard CountyStone CountySullivan CountyTaney CountyTexas CountyVernon CountyWarren CountyWashington CountyWayne CountyWebster CountyWorth CountyWright CountySt. Louis city,6059651,2835183.0,200143.0,19699.0,897755.0
2016,Montana,Beaverhead CountyBig Horn CountyBlaine CountyBroadwater CountyCarbon CountyCarter CountyCascade CountyChouteau CountyCuster CountyDaniels CountyDawson CountyDeer Lodge CountyFallon CountyFergus CountyFlathead CountyGallatin CountyGarfield CountyGlacier CountyGolden Valley CountyGranite CountyHill CountyJefferson CountyJudith Basin CountyLake CountyLewis and Clark CountyLiberty CountyLincoln CountyMcCone CountyMadison CountyMeagher CountyMineral CountyMissoula CountyMusselshell CountyPark CountyPetroleum CountyPhillips CountyPondera CountyPowder River CountyPowell CountyPrairie CountyRavalli CountyRichland CountyRoosevelt CountyRosebud CountySanders CountySheridan CountySilver Bow CountyStillwater CountySweet Grass CountyTeton CountyToole CountyTreasure CountyValley CountyWheatland CountyWibaux CountyYellowstone County,1023391,490742.0,29382.0,3475.0,148677.0
2016,Nebraska,Adams CountyAntelope CountyArthur CountyBanner CountyBlaine CountyBoone CountyBox Butte CountyBoyd CountyBrown CountyBuffalo CountyBurt CountyButler CountyCass CountyCedar CountyChase CountyCherry CountyCheyenne CountyClay CountyColfax CountyCuming CountyCuster CountyDakota CountyDawes CountyDawson CountyDeuel CountyDixon CountyDodge CountyDouglas CountyDundy CountyFillmore CountyFranklin CountyFrontier CountyFurnas CountyGage CountyGarden CountyGarfield CountyGosper CountyGrant CountyGreeley CountyHall CountyHamilton CountyHarlan CountyHayes CountyHitchcock CountyHolt CountyHooker CountyHoward CountyJefferson CountyJohnson CountyKearney CountyKeith CountyKeya Paha CountyKimball CountyKnox CountyLancaster CountyLincoln CountyLogan CountyLoup CountyMcPherson CountyMadison CountyMerrick CountyMorrill CountyNance CountyNemaha CountyNuckolls CountyOtoe CountyPawnee CountyPerkins CountyPhelps CountyPierce CountyPlatte CountyPolk CountyRed Willow CountyRichardson CountyRock CountySaline CountySarpy CountySaunders CountyScotts Bluff CountySeward CountySheridan CountySherman CountySioux CountyStanton CountyThayer CountyThomas CountyThurston CountyValley CountyWashington CountyWayne CountyWebster CountyWheeler CountyYork County,1881259,977353.0,42544.0,4840.0,227021.0
2016,Nevada,Churchill CountyClark CountyDouglas CountyElko CountyEsmeralda CountyEureka CountyHumboldt CountyLander CountyLincoln CountyLyon CountyMineral CountyNye CountyPershing CountyStorey CountyWashoe CountyWhite Pine CountyCarson City,2839172,1302162.0,133525.0,7934.0,417257.0
2016,New Hampshire,Belknap CountyCarroll CountyCheshire CountyCoos CountyGrafton CountyHillsborough CountyMerrimack CountyRockingham CountyStrafford CountySullivan County,1327503,706801.0,37727.0,1675.0,109690.0
2016,New Jersey,Atlantic CountyBergen CountyBurlington CountyCamden CountyCape May CountyCumberland CountyEssex CountyGloucester CountyHudson CountyHunterdon CountyMercer CountyMiddlesex CountyMonmouth CountyMorris CountyOcean CountyPassaic CountySalem CountySomerset CountySussex CountyUnion CountyWarren County,8915456,4322619.0,368870.0,8124.0,949341.0
2016,New Mexico,Bernalillo CountyCatron CountyChaves CountyCibola CountyColfax CountyCurry CountyDe Baca CountyDoña Ana CountyEddy CountyGrant CountyGuadalupe CountyHarding CountyHidalgo CountyLea CountyLincoln CountyLos Alamos CountyLuna CountyMcKinley CountyMora CountyOtero CountyQuay CountyRio Arriba CountyRoosevelt CountySandoval CountySan Juan CountySan Miguel CountySanta Fe CountySierra CountySocorro CountyTaos CountyTorrance CountyUnion CountyValencia County,2082669,876210.0,81175.0,8992.0,426814.0
2016,New York,Albany CountyAllegany CountyBronx CountyBroome CountyCattaraugus CountyCayuga CountyChautauqua CountyChemung CountyChenango CountyClinton CountyColumbia CountyCortland CountyDelaware CountyDutchess CountyErie CountyEssex CountyFranklin CountyFulton CountyGenesee CountyGreene CountyHamilton CountyHerkimer CountyJefferson CountyKings CountyLewis CountyLivingston CountyMadison CountyMonroe CountyMontgomery CountyNassau CountyNew York CountyNiagara CountyOneida CountyOnondaga CountyOntario CountyOrange CountyOrleans CountyOswego CountyOtsego CountyPutnam CountyQueens CountyRensselaer CountyRichmond CountyRockland CountySt. Lawrence CountySaratoga CountySchenectady CountySchoharie CountySchuyler CountySeneca CountySteuben CountySuffolk CountySullivan CountyTioga CountyTompkins CountyUlster CountyWarren CountyWashington CountyWayne CountyWestchester CountyWyoming CountyYates County,19697457,9340878.0,759224.0,22976.0,2967564.0
